feature,importance
engine_hp,1215.0
milage,1130.0
brand_freq,1128.0
model_year,1122.0
car_id,1043.0
engine_displacement_L,991.0
milage_per_year,926.0
model_freq,512.0
ext_col_freq,494.0
int_col_freq,323.0
is_luxury,123.0
num_cylinders,123.0
fuel_type_Gasoline,114.0
accident,81.0
is_turbo_supercharged,76.0
transmission_Manual,71.0
is_common_color,54.0
engine_fuel_detail_Unknown,52.0
fuel_type_E85 Flex Fuel,50.0
engine_fuel_detail_Electric,41.0
transmission_Unknown,37.0
transmission_CVT,36.0
fuel_type_Unknown,33.0
brand_model_freq,32.0
engine_fuel_detail_Gasoline,25.0
fuel_type_not supported,23.0
fuel_type_Plug-In Hybrid,21.0
fuel_type_Hybrid,13.0
is_hybrid,12.0
engine_fuel_detail_Flex Fuel,11.0
engine_fuel_detail_Hybrid,7.0
is_electric,2.0
